title,price,my,make,model,body_type,battery,kw,range_km,odo
2019 Hyundai Kona electric Elite Auto MY20,60900,2019,Hyundai,Kona,SUV,DC150kW,150,557,3973
2020 Hyundai IONIQ electric Premium Auto MY21,57990,2020,Hyundai,IONIQ,Hatch,DC100kW,100,373,2014
2021 MINI Hatch Cooper SE Classic Auto,59898,2021,MINI,Hatch,Hatch,DC135kW,135,215,1699
2021 MINI Hatch Cooper SE Classic Auto,58990,2021,MINI,Hatch,Hatch,DC135kW,135,215,1501
2021 Hyundai IONIQ electric Premium Auto MY21,55490,2021,Hyundai,IONIQ,Hatch,DC100kW,100,373,2230
2020 Nissan LEAF e+ ZE1 Auto,54588,2020,Nissan,LEAF,Hatch,AC160kW,160,270,1130
2020 MINI Hatch Cooper SE First Edition Auto,55400,2020,MINI,Hatch,Hatch,DC135kW,135,270,1550
2019 Hyundai Kona electric Launch Edition Auto MY19,52990,2019,Hyundai,Kona,SUV,DC150kW,150,557,6217
2020 Hyundai IONIQ electric Elite Auto MY20,51980,2020,Hyundai,IONIQ,Hatch,DC100kW,100,373,3102
2019 Nissan LEAF ZE1 Auto,49990,2019,Nissan,LEAF,Hatch,AC110kW,110,270,129
2021 Hyundai IONIQ electric Elite Auto MY21,49987,2021,Hyundai,IONIQ,Hatch,DC100kW,100,373,2000
2019 Nissan LEAF ZE1 Auto,49888,2019,Nissan,LEAF,Hatch,AC110kW,110,270,1939
2020 Nissan LEAF ZE1 Auto,49888,2020,Nissan,LEAF,Hatch,AC110kW,110,270,73
2020 Nissan LEAF ZE1 Auto,49750,2020,Nissan,LEAF,Hatch,AC110kW,110,270,275
2020 Nissan LEAF ZE1 Auto,49566,2020,Nissan,LEAF,Hatch,AC110kW,110,270,3900
2019 Nissan LEAF ZE1 Auto,50900,2019,Nissan,LEAF,Hatch,AC110kW,110,270,51
2019 Nissan LEAF ZE1 Auto,48880,2019,Nissan,LEAF,Hatch,AC110kW,110,270,1159
2020 Nissan LEAF ZE1 Auto,47990,2020,Nissan,LEAF,Hatch,AC110kW,110,270,500
2019 Nissan LEAF ZE1 Auto,47990,2019,Nissan,LEAF,Hatch,AC110kW,110,270,340
2019 Nissan LEAF ZE1 Auto,47990,2019,Nissan,LEAF,Hatch,AC110kW,110,270,340
2020 Nissan LEAF ZE1 Auto,49990,2020,Nissan,LEAF,Hatch,AC110kW,110,270,2013
2019 Nissan LEAF ZE1 Auto,47888,2019,Nissan,LEAF,Hatch,AC110kW,110,270,475
2019 Hyundai IONIQ electric Elite Auto MY20,48980,2019,Hyundai,IONIQ,Hatch,DC100kW,100,373,5102
2020 Nissan LEAF ZE1 Auto,46898,2020,Nissan,LEAF,Hatch,AC110kW,110,270,4
2020 MG ZS EV Essence Auto MY21,46888,2020,MG,ZS EV,SUV,AC105kW,105,263,20
2019 Nissan LEAF ZE1 Auto,45990,2019,Nissan,LEAF,Hatch,AC110kW,110,270,4254
2020 Nissan LEAF ZE1 Auto,47490,2020,Nissan,LEAF,Hatch,AC110kW,110,270,1250
2019 Nissan LEAF ZE1 Auto,45988,2019,Nissan,LEAF,Hatch,AC110kW,110,270,1782
2020 Nissan LEAF ZE1 Auto,45965,2020,Nissan,LEAF,Hatch,AC110kW,110,270,544
2020 Nissan LEAF ZE1 Auto,45881,2020,Nissan,LEAF,Hatch,AC110kW,110,270,1008
2020 MG ZS EV Essence Auto MY21,45690,2020,MG,ZS EV,SUV,AC105kW,105,263,5
