title,price,odometer,body,trans,engline,state,seller,state_2,odo_adj,id,seller_ad,state_ad,state_only,price_adj,body_adj,trans_ad,odo_ad,engine_ad
2021 Mazda 3 G20 Touring BP Series Auto,"$34,917 ",Build date Apr 2021,Sedan,Automatic,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Sutherland Mazda
            ",date,33200,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,34917,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,917 ",Build date Apr 2021,Sedan,Automatic,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - West End Mazda
            ",date,33201,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,34917,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,917 ",Build date May 2021,Sedan,Automatic,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Rockdale Mazda
            ",date,33202,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,34917,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,917 ",Build date May 2021,Hatch,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Lismore Mazda
            ",date,33204,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,34917,Hatch,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,917 ",Build date Jul 2021,Sedan,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Sutherland Mazda
            ",date,33205,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,34917,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,917 ",Build date Jun 2021,Sedan,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Lismore Mazda
            ",date,33206,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,34917,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,917 ",Build date Jun 2021,Sedan,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Macarthur Mazda
            ",date,33207,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,34917,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,921 ",Build date Jul 2021,Sedan,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Private Seller Car

","
                NSW - West End Mazda
            ",date,33210,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,34921,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,921 ",Build date Jul 2021,Hatch,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Private Seller Car

","
                NSW - West End Mazda
            ",date,33211,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,34921,Hatch,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,921 ",Build date Jul 2021,Hatch,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - West End Mazda
            ",date,33212,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,34921,Hatch,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,921 ",Build date Jul 2021,Sedan,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - West End Mazda
            ",date,33213,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,34921,Sedan,Automatic,0,4cyl 2.0L Petrol
